,SLinear,RegEM,MLP
50,2.50337588394707,2.3915467462075903,2.3070467465694264
100,2.453993752750271,2.2255243758737966,2.245087795047825
200,2.9382722125483687,2.5313056567040504,2.429857726639754
time,0.585658073425293,4.269734621047974,500.09943199157715
gap_count,2400,2400,2400
count,9345,9345,9345
