jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2018-07-30,-388.95969959499615,782.1864347170949,466.42277463899575,-851.0199999267464,-660.2539998723068,960.9049995928505,-1021.2229999799307,-747.5529998301281,382.45899985065364
2018-07-31,-388.9354421728215,782.1785978965612,466.4281126492908,-854.3480000411,-657.9809997230535,958.1730001302358,-1022.6479999835218,-749.0760001288929,377.905999908788
2018-08-01,-388.91038880638826,782.1707739339005,466.4346622585899,-854.7980000223225,-659.7500000222205,961.4119997511631,-1021.5080000998839,-749.6439998736005,382.46100034686197
2018-08-02,-388.8845578080878,782.1629632160627,466.44239972092595,-852.511999990117,-659.7510001128679,960.0779996575285,-1019.3709998794876,-748.3419998793318,381.7950002054497
2018-08-03,-388.85796833203665,782.1551660512395,466.4512996149496,-853.5390000227418,-658.6660002455563,958.6640000649874,-1021.8180001119437,-750.1879999631643,382.43200028867903
2018-08-04,-388.8306403539623,782.1473826705409,466.46133488272056,-851.6410001728145,-660.0019998627787,961.5679995820146,-1020.5069999968784,-748.1620001363563,381.47600023932455
2018-08-05,-388.80259465013825,782.1396132297805,466.4724768705134,-851.2369999233904,-657.8740001076835,961.9789995582591,-1021.4830000949235,-746.6299999463297,384.67599971090004
2018-08-06,-388.7738527753924,782.1318578113684,466.48469537159065,-850.6090001835564,-655.3029999972434,961.840000564129,-1024.9169999955348,-747.0149998301076,384.33399959677456
2018-08-07,-388.7444370402142,782.1241164263068,466.4979586708865,-853.8249999949288,-660.3429999305264,962.6389996645404,-1020.9440000730217,-749.3089998877556,383.27400016630446
2018-08-08,-388.7143704869866,782.1163890162876,466.5122335915483,-852.2830000165349,-661.6000000530407,958.1640002175349,-1020.4919997827053,-748.1959999246359,380.40600014481305
2018-08-09,-388.68367686537,782.1086754558862,466.5274855432758,-851.494999852486,-660.2690000831255,957.8240004684479,-1022.5679999880114,-747.3729997488284,385.10000004158996
2018-08-10,-388.652380606868,782.1009755548523,466.54367857239987,-853.6690000006428,-660.3760001276432,961.3200000930982,-1023.306000001728,-748.8599998946138,382.2940003641872
2018-08-11,-388.62050679860187,782.093289060489,466.56077541363743,-852.7459999410034,-660.5270001264603,959.2219996909954,-1020.0539998728685,-746.4550000876551,376.43200007978254
2018-08-12,-388.5880811563264,782.0856156601221,466.57873754345957,-852.8640000498237,-659.9299999714019,961.9749994799209,-1020.8919998964458,-748.8810000055372,378.57399986430596
2018-08-13,-388.5551299967166,782.0779549836517,466.59752523500566,-853.6259999762149,-660.1060000700794,959.9489994784815,-1019.9469999429867,-749.4280000208655,377.5419999331183
2018-08-14,-388.5216802089583,782.0703066061857,466.61709761447736,-851.9549998965084,-661.8530000685182,961.8939994336134,-1018.4490000493146,-746.5850001866346,380.5799999312683
2018-08-15,-388.487759225675,782.0626700507484,466.6374127189407,-852.2849999601483,-660.4070000716309,957.2100003122035,-1021.4040000430808,-747.9429999120825,382.0289997460413
2018-08-16,-388.4533949932248,782.0550447910643,466.6584275554672,-851.511000072377,-660.5800000489346,958.2039997031818,-1020.8760000344516,-746.574999959716,383.6040002590878
2018-08-17,-388.41861594140124,782.0474302544081,466.68009816153926,-853.8210000472384,-660.3579999061859,960.1220005463823,-1018.8659999035829,-747.7320000287074,383.0920002874524
2018-08-18,-388.38345095257466,782.0398258245217,466.70237966664706,-853.2079999972697,-660.145000069364,961.8790002006081,-1021.1760000156111,-748.6240000511068,391.38400031473606
2018-08-19,-388.3479293303074,782.0322308445902,466.72522635499973,-853.0109999301176,-658.1240002505288,968.4799990427134,-1021.0270000780283,-747.5340002274701,387.46900010129565
2018-08-20,-388.31208076748163,782.0246446202766,466.74859172927466,-854.5369999884409,-659.9979999576396,970.647000264345,-1019.4059999298072,-748.3509999503203,387.81800014159967
2018-08-21,-388.2759353139751,782.017066422806,466.77242857532565,-853.9519999750114,-658.4680001437973,962.397999736732,-1019.5729998212995,-749.8809999273647,389.14300050527703
2018-08-22,-388.23952334392277,782.0094954921004,466.796689027772,-854.8470000066438,-658.1700001637331,963.1570001171397,-1020.5069999196742,-750.6620000040589,385.6570003630624
2018-08-23,-388.2028755226027,782.001931039955,466.82132463638527,-852.948000025626,-658.308000198825,963.0899997564137,-1020.2229999467264,-750.0330000939309,384.68500026219067
2018-08-24,-388.1660227729839,781.9943722532554,466.84628643319513,-852.4740000516731,-658.917999945048,963.7749999526922,-1019.0949999584982,-749.2370000907852,381.9259997135965
2018-08-25,-388.12899624197536,781.9868182972275,466.87152500022967,-851.9669998968194,-658.1890000849064,964.7300000104619,-1019.9880002530679,-748.9280000670672,382.84099970895915
2018-08-26,-388.09182726641507,781.9792683187195,466.8969905378083,-853.6199999965112,-658.3629997559844,969.4309988478093,-1021.3550000766452,-748.8519999080421,386.14700021709876
2018-08-27,-388.054547338839,781.9717214495076,466.92263293330234,-852.8510001070784,-659.0440002084542,965.9819997759598,-1017.8989999435776,-749.8139998851958,382.66200030345635
2018-08-28,-388.01718807306935,781.9641768096244,466.9484018302806,-851.5829999145972,-657.299000138715,967.3639998321405,-1018.2590000286883,-749.9479999670087,388.3949992071992
2018-08-29,-387.97978116966186,781.9566335107016,466.9742466979528,-853.4499999807936,-657.0119999265684,970.9589994435905,-1019.4379998291761,-749.8910000200402,390.7869997116324
2018-08-30,-387.94235838125286,781.9490906593265,467.00011690082795,-851.7919999890033,-659.8730000877536,968.7629998663776,-1019.4079998187364,-748.3260001026235,387.460000104144
2018-08-31,-387.9049514778454,781.9415473604038,467.02596176850017,-850.7890001545974,-660.3380000241343,972.5959991907454,-1018.4659997919138,-748.3760000343983,389.1650001941048
2018-09-01,-387.86759221207575,781.9340027205205,467.05173066547843,-851.1230000135429,-658.6400000876991,974.5779996649923,-1019.1240000187672,-748.0930000139334,390.9050005344142
2018-09-02,-387.83031228449966,781.9264558513087,467.0773730609725,-852.3960000257441,-657.6660002068816,982.2239988484229,-1019.0969999724189,-749.9479999722299,391.4340005401676
2018-09-03,-387.7931433089393,781.9189058728007,467.1028385985511,-853.0589999358738,-655.8879999990592,985.85000021441,-1019.6169999654027,-750.943999957193,384.16900038180273
2018-09-04,-387.75611677793074,781.9113519167728,467.12807716558564,-852.0520000682604,-659.6310002169879,986.192,-1017.4020000142635,-748.4459999423298,391.3320007677251
2018-09-05,-387.71926402831195,781.9037931300732,467.1530389623955,-850.9280001400604,-659.3309998912885,977.3120002657391,-1018.251000253241,-747.1369998943286,387.99000014267716
2018-09-06,-387.6826162069919,781.8962286779278,467.17767457100877,-849.8709998840957,-659.191000114991,977.7369991512961,-1018.4010001609649,-747.0349998407391,390.50800009992076
2018-09-07,-387.6462042369396,781.8886577472222,467.2019350234551,-850.7870000899619,-658.9399999847543,975.530000635469,-1019.8800001487868,-747.9829997930046,392.75899981904706
2018-09-08,-387.61005878343303,781.8810795497516,467.2257718695061,-851.4309998863255,-657.041000125549,966.7650011309017,-1019.2560000250187,-749.9900000000222,386.56800001012533
2018-09-09,-387.57421022060726,781.873493325438,467.24913724378104,-851.3820001005196,-659.4740000550263,967.9699988455556,-1017.3370002597908,-748.6279999711222,384.2610001587633
2018-09-10,-387.53868859834,781.8658983455065,467.2719839321337,-852.7180001141355,-659.3570001598937,967.9710002402235,-1019.6799999755724,-750.0919999121267,386.16299975450636
2018-09-11,-387.5035236095134,781.85829391562,467.2942654372415,-853.2389999940675,-659.562000145526,965.7949999311102,-1018.1360001280121,-750.6220000365473,382.66699995945874
2018-09-12,-387.4687445576899,781.8506793789638,467.31593604331357,-852.7380001009004,-658.0950000663646,967.8030009562086,-1020.2049998894273,-750.0609999389948,382.31000014040785
2018-09-13,-387.43438032523966,781.8430541192798,467.33695087984006,-850.726000061187,-659.0099999889221,965.9459989685356,-1019.2650000775031,-747.9889998842559,384.0080000152553
2018-09-14,-387.4004593419564,781.8354175638425,467.3572659843034,-854.7749999938442,-657.4430002821468,965.6349996402942,-1020.6099998707139,-750.9569999389986,383.9739997316108
2018-09-15,-387.3670095541981,781.8277691863765,467.3768383637751,-850.9999999926536,-657.2169998897674,967.8270003992272,-1021.2979998898556,-748.2529998335028,384.8809998509069
2018-09-16,-387.3340583945883,781.820108509906,467.3956260553212,-853.1279999571977,-657.8670000421066,970.3399995199792,-1021.7469999496913,-750.1820000854863,384.6200002794264
2018-09-17,-387.30163275231286,781.812435109539,467.41358818514334,-851.8319999973974,-658.2469999318688,971.2799993924746,-1019.8149999622846,-747.4719998037799,379.66900007211933
2018-09-18,-387.2697589440467,781.8047486151759,467.4306850263809,-851.0249998748629,-659.2470000949791,965.8759991421038,-1019.4699999923331,-748.5329998702869,382.1079998036143
2018-09-19,-387.23846268554473,781.7970487141419,467.44687805550495,-850.0210001804638,-658.1679998999724,962.0569998080216,-1019.1660001813132,-747.9840002196827,384.65999998100875
2018-09-20,-380.97700000000003,785.463,477.19700000000006,-850.6629999999999,-658.338,964.7950000000001,-1018.872,-747.473,384.952
2018-09-21,-381.97600000000006,786.166,475.50699999999995,-850.6729999999999,-656.0930000000001,958.8270000000001,-1020.5950000000001,-747.779,383.221
2018-09-22,-381.936,784.9770000000001,481.396,-850.251,-658.478,960.5120000000001,-1019.05,-747.2379999999999,386.05300000000005
2018-09-23,-381.57399999999996,784.1100000000001,478.738,-849.7889999999999,-657.9659999999999,956.8290000000001,-1018.586,-749.192,382.57
2018-09-24,-384.71,784.397,475.299,-851.93,-657.2180000000001,959.128,-1019.7810000000001,-749.687,381.637
2018-09-25,-382.32,785.725,478.94499999999994,-849.5780000000001,-658.301,962.292,-1018.3200000000002,-747.236,381.53700000000003
2018-09-26,-381.344,784.325,480.253,-850.05,-658.823,958.634,-1016.604,-748.105,384.05400000000003
2018-09-27,-381.00300000000004,786.301,480.492,-849.894,-657.726,964.7959999999998,-1017.261,-748.64,380.57199999999995
2018-09-28,-379.924,786.703,486.678,-850.5690000000001,-657.677,967.831,-1017.423,-748.254,388.722
2018-09-29,-380.974,784.47,486.31199999999995,-850.0909999999999,-657.1510000000001,965.924,-1017.3749999999999,-749.299,388.612
2018-09-30,-381.097,784.8609999999999,486.41599999999994,-849.1780000000001,-657.4499999999999,965.886,-1017.8989999999999,-748.969,391.01399999999995
2018-10-01,-382.46799999999996,786.423,489.20399999999995,-847.6379999999999,-659.5439999999999,982.3459999999999,-1019.393,-748.186,391.43899999999996
2018-10-02,-382.90000000000003,784.9209999999999,488.27799999999996,-851.132,-657.0120000000001,973.3340000000001,-1019.7510000000001,-749.261,388.40200000000004
2018-10-03,-380.116,784.747,488.02700000000004,-849.13,-658.4680000000001,965.327,-1016.6959999999998,-748.383,388.385
2018-10-04,-379.318,783.72,486.36,-849.7090000000001,-660.5569999999999,969.352,-1016.143,-748.2270000000001,387.37699999999995
2018-10-05,-382.00700000000006,784.353,485.08199999999994,-850.722,-658.0279999999999,967.77,-1018.1739999999999,-749.224,387.83099999999996
