,MissForest,KNN,Spline,Poly,Pchip,RegEM
2,1.4395509357258716,1.6524259113945907,2.0309418267576533,2.258997299263325,1.8326409164718642,1.5178113749556565
7,1.5309299077380953,1.8129180177036084,3.179061193560503,3.9809409428776523,2.2039818775445204,1.611064754121729
30,1.6426195510018269,1.862396054748453,7.233139182311237,11.406246750341724,2.5878977242584,1.7027066365714243
180,1.9418961614583345,2.1217339442860292,33.34371064588155,60.99787475217804,2.797423515479531,2.311304818625724
time,566.7225730419159,10.158893346786499,2.3112070560455322,1.4194746017456055,1.3615000247955322,11.736940383911133
gap_count,2880,2880,2880,2880,2880,2880
count,8211,8211,8211,8211,8211,8211
