,RegEM,SLinear,MLP,Poly,Akima,Spline,Pchip
3,1.6763078084661176,1.6589720244109167,1.748436125409885,2.338425146623259,1.8002739297559371,1.9464119839242295,1.7267069378357007
5,1.578925859859708,1.7047573944862877,1.6569658280451025,2.8610604456393527,1.9515919517950344,2.273686263019533,1.790086704105668
7,1.4341363446825501,1.7468983095708748,1.5381109535292659,3.3694825964699193,2.074339493779796,2.473641271485087,1.8324562250229917
20,1.5304505732080285,1.9972295699742508,1.6572946400791522,7.256334351004238,3.0620600671615055,4.225317150182807,2.143662439741482
30,1.5404006919266038,2.162424068149468,1.6745306061652665,10.309425850418547,3.5799004831945123,6.053792900668328,2.2917434650016517
180,1.7092626433765696,2.6059202783516273,1.717305532351889,61.567279327818646,16.73235794156894,26.991538493980293,2.743201918862038
time,18.660326719284058,2.9847869873046875,3066.330540418625,2.781912088394165,2.874384880065918,3.823417901992798,2.7636239528656006
gap_count,2520,2520,2520,2520,2520,2520,2520
count,9266,9266,9266,9266,9266,9266,9266
