jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2017-02-28,-0.0020749509581721942,0.9357973639583711,-1.2274666401202836,1.8621231580753528,-1.1054327038454834,-0.4715987653624081,-0.09579144700943255,0.9717558003747678,-0.8673118151125077
2017-03-01,-0.19139358473546494,1.0577942399881086,-1.094864848924256,1.2254135305939748,-1.3562234436534593,-0.8551791039588537,-0.0374273879543894,1.5715606851626307,-0.3196800865182308
2017-03-02,0.019672322553909695,1.2773271432597173,-1.2637284605627854,1.3695324331803511,0.020670792813066045,-1.2672308812108612,-0.3522881873021488,1.1338299580102094,-0.937785120741401
2017-03-03,-0.9349726194119187,2.2175923798135897,-0.39866528602701534,0.6589751958489438,-0.3269753580634879,-0.4910420363158065,-0.06862001333015783,0.683492213102886,-1.3397844756168094
2017-03-04,-1.098479641071643,1.7699890164966872,-0.9383819709386811,0.8630642017538039,-0.028472000256860242,-0.7969547958238522,-0.5217369629969559,1.3359297688831848,-0.5849576160455168
2017-03-05,-0.8712217956328486,1.2396040947789082,-1.0922596256906678,0.8689159937559003,0.4799880125126227,-1.3616495137655684,-0.30069095645412425,1.5294499712875564,-0.49213618079173477
2017-03-06,0.2433599813921166,1.6743904716984521,-1.3727874636476056,-0.31650278298444606,-0.40525450202222596,-1.0489815369185818,-0.2981475215114483,1.666897149985069,-0.14297379599128957
2017-03-07,-0.7408633311497543,1.7158242333495395,-0.8189741153571158,0.9007557824739494,0.501043018060188,-0.7349456479148075,-1.3865237124899248,1.0409473564266831,-0.4772635833987344
2017-03-08,-0.10253016322556632,2.3452290594478735,-1.4397409678131958,0.05515139089330271,0.0818462106239587,-0.33661571669178836,-0.8756212568969074,0.6309651216461449,-0.3586836779835583
2017-03-09,0.8534910137658245,1.5561462670457753,-1.2605151288007364,0.8317290795816636,-1.4930146340433632,-0.4760938450284394,0.17864042116898868,0.6340192571484067,-0.8244024308376491
2017-03-10,-1.831282076948868,0.7241533750453902,-0.6119398523492575,0.25129775289380596,0.32467224939487127,-0.8719054337927781,0.4672473035040775,-0.3221737400239315,1.8699304222767663
2017-03-11,-0.5377828808128257,2.2667933059157646,0.09551041713723392,-0.613993291546547,-1.715594814664484,0.029916600390775313,0.011981971876777268,-0.02799312071072965,0.4911618124144689
2017-03-12,-0.32047735753848045,0.7918935428654329,-0.25501744132557735,0.10942320885160485,-2.311960394100138,-0.08553703578241392,0.16107680137792807,1.6587105660686947,0.2518881095829478
2017-03-13,-0.8621977289534561,0.870751129137474,-1.0421495925642703,-1.7000529624310952,-0.40162530561620274,1.6006478427079927,0.4220624811379877,0.5267941090939462,0.5857700274879462
2017-03-14,-0.6095009579317126,1.5990501454693307,-1.8233073261855595,-0.7135989004516745,0.05292215476365797,0.06781334930825474,0.2604867347518077,1.4440802595393305,-0.27794545926304254
2017-03-15,-0.6677310653189364,1.3792564986301032,-0.9320193801170723,0.7174460255261983,-0.7590297428518852,-0.2506218851036426,-1.551136190488104,1.2483986650699677,0.8154370746540827
2017-03-16,-1.3822246976729653,1.7967721362612996,-0.5181170759634237,-0.9250786065187111,0.2923727165430985,0.7464488955859518,-1.1735290195554184,0.7236509539030762,0.43970469741701884
2017-03-17,-0.6269761856423524,1.7749082917865482,-1.7222208738071634,-0.2675909840582344,1.457267502534661,0.1344886904473268,-0.1534144572550298,-0.49293142700425296,-0.10353055700157152
