"n0","e0","u0","n1","e1","u1","n2","e2","u2"
-385.664,786.468,473.241,-852.019,-659.049,971.944,-1019.476,-747.655,394.232
-386.974,785.502,471.111,-853.938,-658.639,966.743,-1021.1,-750.532,388.005
-386.144,784.923,478.224,-854.497,-659.902,975.507,-1022.36,-747.951,380.688
-384.128,786.313,473.713,-852.178,-662.135,975.602,-1020.295,-746.923,387.233
-385.682,786.759,466.904,-852.432,-657.844,956.722,-1021.017,-747.922,390.513
-385.702,787.114,467.406,-852.384,-658.436,963.82,-1021.912,-749.264,386.25
-384.957,788.501,473.263,-851.093,-658.338,968.374,-1020.88,-748.998,386.883
-387.485,787.308,473.677,-852.038,-657.529,969.714,-1020.193,-749.01,384.417
-385.131,787.451,469.81,-850.75,-658.928,971.212,-1021.693,-746.405,386.165
-384.361,786.431,471.919,-851.829,-660.006,963.674,-1020.389,-746.893,378.76
-385.808,785.533,472.338,-854.48,-657.233,963.039,-1021.556,-748.938,383.677
-384.64,787.238,470.321,-851.491,-659.2,960.566,-1020.247,-746.832,386.836
-385.692,787.776,466.084,-850.344,-659.25,963.644,-1019.731,-748.69,390.927
-384.436,785.813,472.211,-851.914,-659,968.483,-1020.892,-749.006,391.162
-384.304,787.128,473.936,-852.388,-656.872,970.763,-1022.218,-747.652,388.422
-384.059,787.717,476.427,-851.343,-656.917,965.595,-1021.868,-747.878,392.849
-386.129,786.65,476.73,-852.421,-658.323,967.508,-1021.796,-748.772,392.55
-384.859,788.878,473.398,-848.946,-656.389,962.392,-1022.488,-746.373,386.897
-385.667,788.027,479.376,-852.584,-657.508,969.378,-1022.576,-748.443,390.255
-385.125,788.423,482.928,-850.471,-658.903,969.268,-1022.313,-747.002,389.613
-385.696,788.034,477.745,-851.187,-656.651,968.073,-1022.876,-747.676,388.876
-385.87,787.947,475.948,-851.689,-656.903,971.696,-1023.388,-747.018,387.31
-385.58,787.439,475.352,-851.156,-660.112,975.395,-1021.372,-747.749,385.245
-385.553,788.623,475.026,-850.876,-656.935,965.987,-1022.003,-747.703,382.66
-384.122,787.817,474.661,-849.762,-658.723,964.394,-1020.292,-747.14,382.975
-385.719,787.527,475.812,-851.809,-658.594,969.544,-1021.63,-747.339,385.552
-385.471,786.955,475.311,-851.508,-659.855,972.168,-1022.101,-747.645,388.914
-386.102,787.45,477.033,-850.91,-658.317,966.589,-1021.634,-748.002,390.253
-384.74,787.992,472.162,-849.58,-659.364,964.334,-1020.615,-746.817,385.556
-387.165,785.107,467.425,-854.509,-657.521,965.515,-1022.071,-750.077,383.189
-385.683,786.178,474.567,-852.214,-659.785,967.071,-1021.759,-748.615,386.17
-384.288,785.88,476.27,-852.082,-658.78,966.044,-1019.773,-749.329,386.772
-385.264,784.436,476.745,-852.188,-657.05,966.138,-1020.542,-750.8,389.147
-383.612,787.333,482.155,-849.807,-659.718,973.792,-1019.722,-747.24,390.728
-384.729,786.287,480.454,-852.376,-657.75,970.49,-1019.89,-748.912,391.976
-384.56,787.118,478.248,-850.893,-656.734,970.434,-1021.376,-747.804,388.742
-384.478,787.165,478.46,-850.286,-658.145,972.056,-1021.424,-748.236,392.847
-384.794,785.993,479.51,-852.497,-656.822,966.894,-1020.774,-749.82,389.86
-384.947,786.918,477.499,-852.3,-656.913,968.393,-1022.435,-748.627,392.627
-384.596,786.827,475.178,-850.611,-658.331,968.542,-1018.793,-747.572,386.385
-384.98,785.557,479.137,-851.563,-659.177,969.344,-1020.201,-747.573,391.758
-385.285,786.033,473.667,-851.929,-658.563,968.666,-1020.003,-748.373,385.579
-383.954,785.922,475.769,-851.105,-660.16,970.231,-1019.521,-747.491,385.129
-382.814,786.464,476.109,-850.678,-660.306,972.002,-1019.125,-746.688,384.796
-384.782,786.418,475.931,-851.64,-657.506,971.57,-1020.573,-748.997,386.758
-384.835,785.95,477.833,-851.223,-660.705,970.98,-1020.088,-748.449,387.011
-385.93,787.351,475.214,-851.435,-659.698,969.098,-1021.999,-746.787,386.457
-386.866,786.727,472.722,-852.331,-658.909,972.202,-1021.703,-748.546,389.377
-386.714,787.938,472.744,-851.924,-657.95,973.6,-1022.591,-747.499,386.842
-385.502,785.464,476.827,-852.95,-658.839,975.113,-1021.65,-749.317,391.771
-384.336,783.554,470.775,-854.554,-658.505,967.276,-1019.606,-751.233,388.79
-385.787,785.877,478.156,-853.084,-657.947,974.725,-1020.763,-749.874,392.496
-385.591,783.018,475.587,-855.917,-659.577,972.302,-1020.172,-752.325,389.724
-384.3,787.667,476.888,-851.71,-658.22,977.581,-1020.984,-747.997,389.135
-383.583,785.259,479.498,-852.783,-661.403,981.353,-1018.516,-749.052,394.282
-384.915,786.383,477.215,-851.913,-658.964,977.885,-1020.627,-748.812,395.8
-385.649,785.47,475.596,-853.1,-660.405,983,-1020.677,-749.953,395.941
-384.265,785.887,474.299,-851.463,-658.574,973.639,-1020.673,-749.214,393.101
-385.444,785.673,478.68,-851.505,-657.211,968.975,-1021.605,-748.806,392.331
-385.587,786.479,477.506,-852.551,-658.029,978.916,-1021.474,-749.496,389.286
-385.759,785.598,474.15,-852.424,-657.405,972.37,-1021.165,-749.862,390.974
-383.728,785.782,475.685,-850.922,-660.367,969.845,-1019.376,-748.434,387.686
-384.172,784.55,473.379,-852.024,-661.282,968.713,-1018.833,-749.057,388.099
-386.902,786.88,469.861,-852.569,-659.267,975.507,-1022.31,-748.05,391.674
-383.718,786.776,466.336,-850.287,-660.196,971.016,-1018.455,-747.293,395.345
-385.887,786.009,465.979,-852.875,-658.36,967.662,-1021.883,-748.334,388.772
-383.324,787.878,474.398,-851.96,-659.039,968.786,-1021.985,-747.262,386.973
-384.148,786.681,472.689,-851.866,-661.974,967.902,-1020.341,-747.14,385.878
-382.818,786.832,472.085,-851.455,-661.089,970.195,-1021.38,-748.193,388.441
-385.041,787.179,469.965,-853.974,-660.344,961.005,-1021.062,-749.283,380.304
-385.066,787.854,466.62,-851.731,-660.409,956.894,-1024.721,-747.616,391.648
-384.186,786.408,468.494,-854.208,-661.024,960.097,-1021.396,-748.045,383.198
-382.654,786.091,468.242,-853.37,-661.893,962.457,-1021.038,-747.261,381.757
-383.7,785.089,470.778,-854.112,-660.015,966.492,-1020.603,-749.851,383.024
-384.27,787.33,476.144,-851.74,-658.911,969.426,-1021.378,-749.033,388.417
-384.421,786.641,477.663,-852.89,-659.9,972.497,-1021.283,-749.867,394.431
-384.218,784.726,494.318,-851.946,-658.889,972.553,-1022.261,-748.608,395.705
-384.856,785.573,486.243,-853.782,-658.688,974.516,-1021.165,-748.904,396.716
-383.734,785.787,487.253,-851.622,-659.036,976.109,-1020.669,-748.992,396.046
-384.652,783.857,482.262,-854.871,-659.78,975.305,-1018.983,-750.375,399.067
-384.476,784.452,477.623,-852.45,-660.312,968.166,-1019.398,-750.066,391.881
-386.007,784.602,474.916,-853.793,-659.082,970.527,-1021.494,-750.976,391.309
-386.086,785.916,474.975,-853.01,-658.966,967.178,-1022.142,-749.2,386.869
-385.534,785.382,476.474,-852.55,-659.648,965.432,-1020.38,-747.416,382.303
-383.709,786.524,474.831,-850.406,-660.589,963.661,-1020.906,-746.058,384.736
-385.414,785.364,474.456,-852.385,-659.638,961.616,-1019.921,-749.221,383.171
-385.837,786.073,473.788,-852.407,-658.672,966.477,-1021.212,-748.098,380.959
-383.506,785.892,476.261,-850.414,-660.091,966.5,-1018.405,-747.533,388.305
-387.064,785.954,476.308,-851.615,-658.459,964.836,-1020.918,-747.965,388.528
-387.898,784.931,473.406,-853.86,-657.645,968.212,-1022.366,-748.834,387.579
-387.52,787.3,475.878,-851.893,-657.113,971.742,-1022.013,-747.361,390.487
-386.157,786.284,478.728,-850.944,-658.272,970.829,-1020.383,-747.36,390.934
-386.693,784.03,477.979,-853.72,-658.813,974.772,-1020.972,-749.589,393.563
-385.924,784.422,476.392,-854.817,-659.959,964.702,-1021.476,-748.38,388.364
-382.479,783.851,475.013,-852.702,-662.154,962.279,-1018.596,-748.213,387.312
-384.128,785.117,481.623,-852.528,-661.609,968.038,-1019.87,-748.515,393.655
-384.128,784.802,478.806,-852.144,-660.791,967.347,-1020.839,-749.293,396.04
-385.926,785.51,470.227,-852.869,-661.286,973.816,-1020.655,-748.521,388.576
-384.605,785.66,473.555,-851.485,-660.604,969.284,-1018.263,-746.782,386.35
-384.737,785.158,469.215,-852.659,-658.771,970.372,-1019.675,-749.045,386.034
-384.691,785.975,474.626,-852.794,-658.28,975.017,-1019.872,-747.289,392.031
-383.549,785.062,473.209,-853.158,-661.547,972.516,-1019.131,-747.339,393.271
-383.991,783.969,474.263,-853.563,-661.532,969.824,-1019.245,-749.229,388.521
-386.476,786.146,472.671,-852.476,-658.251,965.374,-1020.531,-748.602,391.175
-384.339,784.284,479.367,-853.657,-659.314,975.522,-1018.421,-749.087,395.477
-385.102,785.871,479.71,-852.27,-657.748,974.838,-1020.667,-747.773,393.169
-385.653,786.107,480.442,-851.575,-657.032,972.656,-1021.242,-747.26,394.325
-383.83,786.144,482.24,-851.226,-659.514,974.216,-1019.066,-747.711,393.718
-382.06,785.424,481.121,-850.976,-660.25,968.85,-1019.168,-747.093,392.121
-386.935,784.231,478.441,-855.027,-659.434,977.02,-1021.102,-749.84,391.388
-383.854,786.535,476.999,-851.9,-659.126,978.611,-1020.519,-747.313,387.057
-382.88,786.619,475.61,-851.696,-660.347,972.388,-1018.437,-747.118,384.914
-383.617,785.706,468.96,-852.155,-659.92,966.347,-1019.098,-747.715,387.532
-385.489,784.535,471.691,-852.904,-660.166,967.678,-1019.781,-749.179,386.184
-383.329,784.151,476.407,-853.697,-661.636,968.587,-1019.234,-748.566,384.295
-383.271,784.555,475.093,-852.758,-660.066,970.254,-1019.985,-748.914,383.073
-384.966,786.025,472.805,-853.224,-660.663,964.658,-1020.152,-748.988,381.926
-386.537,785.065,469.941,-851.171,-658.61,960.57,-1023.078,-749.364,383.482
-384.474,788.204,478.594,-850.228,-659.151,967.596,-1022.042,-746.006,384.634
-384.38,786.021,475.581,-852.662,-657.904,966.597,-1020.543,-748.111,385.104
-383.199,786.893,479.406,-850.481,-659.634,974.314,-1020.51,-746.837,387.391
-384.842,785.784,476.342,-853.207,-658.402,970.711,-1019.568,-748.644,386.978
-383.08,786.618,476.64,-851.306,-660.91,971.474,-1020.112,-746.81,382.969
-385.082,784.435,475.032,-854.97,-660.114,974.688,-1019.848,-748.702,386.524
-383.639,784.444,473.607,-852.377,-660.556,972.089,-1018.778,-748.577,382.805
-383.75,786.011,472.022,-853.145,-660.847,975.677,-1020.45,-746.644,385.886
-386.134,786.254,475.718,-853.21,-658.659,972.187,-1021.817,-748.122,385.097
-384.777,785.878,474.229,-852.26,-658.615,974.113,-1021.728,-748.357,383.541
-384.851,785.361,473.741,-852.708,-657.75,966.36,-1020.515,-749.525,385.329
-384.37,785.615,475.605,-851.793,-659.156,968.84,-1020.519,-747.936,382.378
-385.538,786.438,478.433,-852.049,-656.557,972.255,-1021.289,-749.598,390.105
-384.302,785.486,477.004,-851.76,-658.566,974.111,-1020.134,-748.322,387.38
-383.104,785.275,473.95,-850.879,-659.845,970.176,-1020.292,-748.189,387.549
-384.706,784.897,478.013,-852.252,-658.432,973.187,-1019.864,-749.12,390.196
-382.993,786.153,475.688,-851.028,-657.763,971.811,-1020.448,-747.564,387.4
-384.059,783.616,474.279,-853.102,-659.903,975.337,-1020.126,-749.94,384.556
-384.361,784.295,477.779,-852.046,-658.557,970.558,-1019.277,-748.782,382.674
-382.255,782.381,473.042,-853.119,-660.618,967.728,-1016.714,-750.996,382.789
-383.589,783.224,474.34,-852.503,-660.337,964.162,-1019.564,-750.93,384.883
-383.162,784.376,478.142,-852.064,-659.862,970.232,-1019.72,-749.628,384.773
-382.249,784.657,476.506,-851.761,-659.579,967.774,-1018.624,-748.044,383.603
-384.373,784.186,472.953,-853.288,-659.527,959.436,-1019.063,-749.933,377.36
-384.504,785.322,473.602,-851.183,-660.052,960.154,-1019.966,-748.084,379.554
-384.246,784.016,470.155,-850.821,-665.328,959.591,-1020.111,-748.77,376.197
-385.146,784.615,469.18,-852.97,-660.657,960.724,-1019.941,-749.894,378.613
-384.114,784.163,470.723,-851.868,-661.211,968.032,-1019.231,-748.646,378.906
-384.772,784.378,474.405,-852.164,-663.752,963.839,-1018.881,-748.914,383.682
-385.498,785.914,471.007,-850.862,-660.083,962.896,-1020.463,-747.746,380.286
-383.762,784.475,471.024,-852.489,-660.674,959.282,-1019.538,-748.532,380.52
-381.709,786.845,476.608,-848.405,-661.926,963.427,-1018.602,-745.396,383.201
-382.964,785.652,469.956,-850.749,-662.09,962.809,-1018.763,-747.368,378.882
-382.988,784.63,469.065,-849.697,-660.288,956.795,-1019.1,-747.742,378.35
-382.591,785.958,470.528,-849.089,-661.047,968.932,-1018.356,-745.407,379.379
-382.064,785.881,471.99,-850.121,-659.728,957.883,-1018.321,-748.064,381.235
-383.137,784.983,471.496,-851.268,-660.406,960.869,-1018.312,-748.491,385.542
-383.352,784.562,465.385,-851.897,-659.483,956.675,-1018.504,-749.869,379.026
-384.071,785.387,470.786,-851.776,-658.629,956.675,-1020.181,-749.015,380.68
-383.823,784.502,471.095,-851.826,-658.938,958.138,-1018.859,-748.506,377.766
-384.916,784.963,473.251,-852.373,-658.958,955.926,-1021.77,-749.551,383.806
-384.672,785.03,470.08,-850.51,-660.528,958.602,-1020.325,-748.352,378.212
-384.257,783.877,468.49,-851.814,-660.118,957.171,-1019.349,-749.098,376.32
-387.493,786.52,472.348,-852.384,-658.541,959.447,-1023.548,-748.419,376.913
-383.468,785.1,467.041,-851.272,-661.726,956.897,-1019.087,-747.69,375.527
-382.451,784.799,468.605,-850.494,-661.849,954.526,-1018.647,-747.661,374.61
-381.09,784.1,471.413,-851.086,-661.693,958.25,-1017.582,-748.733,381.966
-382.39,783.896,475.457,-851.161,-662.181,960.681,-1016.879,-748.802,388.98
-382.71,784.914,476.536,-851.102,-661.522,960.254,-1018.629,-748.463,386.51
-382.982,785.582,476.823,-850.982,-661.207,960.594,-1018.905,-747.344,386.213
-382.429,785.609,473.93,-851.059,-659.645,960.837,-1018.537,-747.491,383.115
-384.424,785.716,478.483,-853.135,-659.21,960.009,-1020.454,-748.18,384.739
-383.127,784.275,478.516,-852.982,-662.496,960.862,-1019.389,-747.912,389.771
-384.779,784.655,472.582,-852.408,-660.976,961.064,-1020.128,-748.25,382.943
-386.122,784.364,469.716,-852.977,-661.09,960.017,-1018.491,-749.354,385.282
-383.971,785.875,469.556,-850.826,-659.221,958.831,-1019.733,-746.888,377
-383.049,785.519,476.051,-851.471,-661.37,962.587,-1019.851,-745.485,377.523
-384.222,784.356,477.018,-853.663,-659.955,962.426,-1021.722,-747.734,382.254
-382.402,785.349,477.132,-850.881,-661.449,963.321,-1018.681,-747.375,382.717
-384.126,784.742,476.131,-852.456,-659.447,968.746,-1017.087,-749.038,382.596
-380.203,784.389,475.471,-850.542,-660.723,964.616,-1016.577,-747.803,380.089
-381.393,785.211,471.455,-849.969,-660.384,965.977,-1018.889,-749,386.092
-378.728,786.314,473.187,-847.953,-662.606,968.547,-1015.838,-747.442,382.567
-381.596,786.052,472.541,-849.27,-659.574,964.756,-1018.684,-747.646,382.141
-383.824,784.877,472.438,-852.109,-658.811,964.501,-1019.758,-749.01,384.117
-383.251,786.586,476.45,-850.608,-659.135,966.706,-1020.279,-745.835,383.615
-382.414,783.919,476.373,-852.371,-660.999,964.297,-1019.219,-748.239,382.318
-381.582,783.572,474.407,-851.938,-662.11,959.988,-1017.953,-747.448,379.738
-382.624,783.441,474.755,-853.562,-662.209,959.291,-1018.081,-748.41,383.552
-382.552,783.667,471.117,-852.958,-661.221,960.008,-1017.934,-749.868,381.386
-382.853,784.777,471.834,-851.44,-661.503,962.637,-1018.704,-747.985,383.337
-382.216,786.035,472.495,-850.438,-660.673,963.052,-1018.791,-746.396,379.572
-382.906,784.896,473.923,-850.383,-660.616,960.042,-1018.35,-746.901,378.97
-383.23,784.9,473.971,-850.785,-661.171,964.886,-1018.901,-747.765,380.668
-382.656,786.426,475.747,-851.494,-659.738,970.584,-1019.52,-747.257,385.643
-381.613,783.934,475.508,-852.664,-661.181,969.721,-1017.064,-748.92,386.726
-382.894,786.003,476.549,-849.707,-662.237,972.392,-1018.756,-746.909,386.771
-384.189,784.348,478.772,-851.32,-659.624,963.474,-1018.791,-748.126,384.748
-383.916,784.4,474.88,-851.479,-659.127,958.529,-1018.73,-748.192,383.018
-381.995,783.952,475.096,-850.155,-662.405,960.601,-1017.099,-747.311,381.462
