,SLinear,RegEM,MLP,Poly,PiecewisePolynominal,Akima,Spline,FromDerivatives,Pchip
3,1.6823211755233498,2.363607464617883,2.3348684241076256,2.348819963534853,1.6823211755233498,1.8312825922699112,1.9340788710406949,1.6823211755233498,1.750008862010586
5,1.8527383622959446,2.3210882118308307,2.1819870540718522,3.0352104316811848,1.8527383622959426,2.0820580832915985,2.4506876073167354,1.8527383622959426,1.9393861155560508
7,1.7040398533585621,1.9056027836607528,1.9069027020561005,3.2535619256417796,1.7040398533585621,1.9687046899204235,2.321045283952782,1.7040398533585621,1.7880921353267711
20,2.134241085600907,2.254468539729505,2.1753008506215985,7.40891487419201,2.134241085600907,3.127825959209394,4.746304923500238,2.134241085600907,2.277941236188393
30,2.125683517454704,1.8232358789484457,1.900324032485991,9.812963184261767,2.1256835174547044,3.525411924516801,5.427199746025325,2.1256835174547044,2.2276875410588395
time,1.2450671195983887,12.35544228553772,1200.578497171402,1.3448522090911865,2.7690367698669434,1.3208305835723877,2.2784922122955322,2.803020715713501,1.248929738998413
gap_count,2190,2190,2190,2190,2190,2190,2190,2190,2190
count,10330,10330,10330,10330,10330,10330,10330,10330,10330
