,MissForest,KNN,Spline,Poly,Pchip,RegEM
2,2.5191025452196385,2.7857309216396002,3.3911262814381185,3.5529787742045804,2.9125466806538247,2.879169160796791
7,2.662009426129415,2.92952717175995,6.902182158995903,7.11952039810806,4.008123020576816,3.0358694069778314
30,2.947459604938277,3.181862116993347,13.154777689769785,16.046044576408313,5.546761689936916,3.011700835313165
180,3.8784874074073796,4.221898687586823,119.28813037675465,129.60837820831495,5.122290851498384,5.821243199142463
time,52.23937106132507,6.72904109954834,0.2699859142303467,0.14274239540100098,0.11721348762512207,0.7623510360717773
gap_count,180,180,180,180,180,180
count,432,432,432,432,432,432
