jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2017-12-30,883.4989999999999,255.058,1081.2379999999998,109.331,1085.4700000000003,173.581,320.473,505.01099999999997,760.3290000000001,150.454,136.8,415.203,83.627,1095.139,1018.5070000000001,932.4879999999998,90.849,188.70100000000002,653.796,707.751
2017-12-31,886.3549999999999,257.515,1077.408,110.946,1086.43,176.91700000000003,320.849,507.726,760.5529999999999,148.831,142.484,414.649,84.791,1096.06,1015.509,936.54,93.00399999999999,190.666,658.563,710.2760000000001
2018-01-01,889.052,251.66700000000003,1079.5159999999998,111.75399999999999,1083.496,176.554,323.936,505.594,759.138,153.144,144.593,412.98500000000007,87.04500000000002,1096.978,1017.2339999999999,931.107,86.861,190.15699999999998,655.136,710.086
2018-01-02,885.859,249.61700000000002,1074.125,106.616,1082.001,172.093,320.636,504.0520000000001,756.585,149.538,139.573,411.379,84.052,1092.625,1014.4229999999999,929.3399999999999,89.712,187.173,653.1270000000001,708.579
2018-01-03,885.501,257.32300000000004,1079.98,108.10799999999999,1085.0,168.56300000000002,322.07399999999996,508.19899999999996,757.174,151.491,142.731,415.44399999999996,85.79599999999999,1095.1309999999999,1015.857,929.143,95.49099999999999,188.957,653.603,709.831
2018-01-04,881.188,249.51100000000002,1072.9660000000001,99.498,1082.025,163.857,315.09999999999997,501.74600000000004,749.3270000000001,145.321,136.353,409.06100000000004,76.681,1092.184,1008.972,927.736,82.929,182.41199999999998,647.864,707.2579999999999
2018-01-05,878.6239999999999,247.302,1073.478,100.601,1083.577,163.642,316.523,499.31499999999994,754.647,144.896,134.78900000000002,409.109,75.339,1088.703,1007.201,925.707,86.05499999999999,184.116,649.0020000000001,705.569
2018-01-06,880.185,244.599,1073.151,101.79400000000001,1083.316,167.754,318.03700000000003,497.49499999999995,753.555,145.898,136.319,405.113,77.159,1088.9450000000002,1007.7,922.4180000000001,80.798,181.144,653.0500000000001,708.33
2018-01-07,878.424,250.39899999999997,1080.547,106.079,1083.584,172.30499999999998,324.994,500.88100000000003,763.512,148.27200000000002,140.711,412.07899999999995,84.191,1094.8139999999999,1015.371,929.4399999999999,87.09400000000001,186.165,657.9159999999999,709.8899999999999
2018-01-08,884.2840000000001,254.062,1081.902,106.724,1086.196,171.114,320.042,502.37700000000007,759.172,147.66700000000003,138.291,409.36100000000005,83.44800000000001,1094.351,1013.808,929.5409999999999,89.282,186.54100000000003,656.6560000000001,709.5100000000001
2018-01-09,876.6510000000001,253.932,1077.0230000000001,103.253,1085.236,167.58599999999998,317.08200000000005,503.708,758.163,147.57899999999998,135.296,409.572,82.566,1093.564,1013.04,928.5329999999999,89.959,183.324,654.272,710.7280000000001
2018-01-10,882.023,254.61100000000002,1082.144,106.36800000000001,1084.7069999999999,170.96800000000002,322.73400000000004,506.54300000000006,760.1640000000001,147.101,137.707,413.764,85.433,1091.2440000000001,1017.849,927.991,90.262,188.165,658.386,711.089
