,SLinear,RegEM,MLP
50,2.511556039215691,1.769000726723315,1.7283381967723017
100,2.358397343234332,1.8293069715583687,1.9794096696019914
200,2.5849450193477055,2.616671920077169,2.5871796275961554
time,0.14698266983032227,0.7569253444671631,120.49541568756104
gap_count,600,600,600
count,2277,2277,2277
