,SLinear,RegEM,MLP,Poly,Akima,Spline,FromDerivatives,Pchip
3,1.726927524429965,2.067047118173754,1.9468168577997156,2.4406000238051218,1.8884638814855375,2.0082658409272933,1.726927524429965,1.7974821771949294
5,1.779854810843015,2.283246387364214,2.131282075512706,2.9812405262928743,2.012281580438678,2.311481495738327,1.7798548108430152,1.865720830393739
7,1.6594849973446621,1.7149142699480446,1.7692945841491967,3.2125269584324494,1.9399999191347919,2.3228867885903024,1.6594849973446621,1.7293038082831524
20,1.9943443730158723,2.326043045494121,2.2221222936494103,7.072639726599786,2.8576299441988287,4.32936061398644,1.9943443730158719,2.0987553864116903
30,2.286602056796247,2.3401391177788007,2.2714598033887996,10.428111022139294,3.514978705070221,6.009766584814581,2.28660205679625,2.359049619015862
time,1.0034053325653076,9.844532012939453,1030.4611763954163,1.066542148590088,1.0821592807769775,1.8196091651916504,2.3084511756896973,1.0400631427764893
gap_count,1950,1950,1950,1950,1950,1950,1950,1950
count,9153,9153,9153,9153,9153,9153,9153,9153
