jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2017-04-15,-385.11400000000003,787.645,479.218,-851.061,-658.387,968.405,-1020.084,-747.971,393.33
2017-04-16,-387.356,787.956,491.05800000000005,-853.075,-656.745,969.618,-1021.123,-749.6610000000001,392.699
2017-04-17,-386.148,787.773,480.44199999999995,-851.0319999999999,-656.677,966.592,-1021.67,-748.928,395.384
2017-04-18,-386.413,788.7639999999999,473.171,-851.6489999999999,-657.452,969.097,-1022.245,-748.725,391.259
2017-04-19,-385.996,787.6519999999999,478.26099999999997,-851.893,-657.8789999999999,967.9989999999999,-1021.385,-748.9019999999999,389.776
2017-04-20,-383.529,787.232,479.745,-849.9689999999999,-660.329,974.2539999999999,-1019.127,-746.045,394.418
2017-04-21,-382.92900000000003,787.928,477.458,-849.929,-658.99,965.06,-1019.5889999999999,-747.303,393.741
2017-04-22,-385.53,787.697,478.267,-850.2360000000001,-658.415,974.321,-1021.365,-748.385,397.222
2017-04-23,-383.629,787.7360000000001,479.351,-849.937,-657.936,971.3889999999999,-1020.025,-748.534,398.025
2017-04-24,-385.496,787.4060000000001,477.566,-849.778,-658.0010000000001,969.6030000000001,-1021.699,-747.928,388.88199999999995
2017-04-25,-385.43199999999996,787.331,476.469,-850.8939999999999,-657.127,967.643,-1021.365,-747.925,392.13800000000003
2017-04-26,-385.773,787.7260000000001,479.17,-851.74,-656.419,966.975,-1022.0369999999999,-749.567,392.287
2017-04-27,-386.311,786.937,475.58099999999996,-851.461,-657.299,960.916,-1020.6610000000001,-748.783,388.55199999999996
2017-04-28,-386.411,787.0369999999999,479.67400000000004,-852.482,-655.9110000000001,960.523,-1021.977,-749.248,389.778
2017-04-29,-386.57199999999995,787.423,475.481,-853.6110000000001,-657.5939999999999,965.0419999999999,-1022.6360000000001,-749.605,394.30699999999996
2017-04-30,-385.801,788.064,471.819,-851.061,-657.485,962.207,-1020.278,-748.7310000000001,388.80199999999996
2017-05-01,-384.37,788.64,475.05199999999996,-851.197,-657.9680000000001,965.702,-1019.8589999999999,-748.5189999999999,394.496
2017-05-02,-384.33,787.0169999999999,479.222,-850.7660000000001,-657.7560000000001,963.41,-1020.497,-747.905,391.907
2017-05-03,-385.69300000000004,786.547,482.48900000000003,-852.789,-657.9689999999999,972.075,-1020.8539999999999,-748.8439999999999,396.468
2017-05-04,-383.691,786.451,479.56300000000005,-851.196,-659.682,969.265,-1019.45,-748.56,395.152
2017-05-05,-383.01199999999994,787.4839999999999,479.914,-850.5830000000001,-657.4110000000001,968.3380000000001,-1019.6419999999999,-747.557,394.04900000000004
2017-05-06,-382.94800000000004,787.7719999999999,479.014,-851.0039999999999,-656.738,970.395,-1020.044,-748.9069999999999,396.19599999999997
