,MissForest,KNN,Spline,Poly,Pchip,RegEM
2,1.8881622850394009,1.9674381899576494,1.7495746497928228,1.9167248451921977,1.5721228608355942,1.9519219239358105
7,1.952197577427575,2.0528501089625633,2.6286712627258906,3.3542937194454128,1.9122979051055533,1.999092744580567
30,2.0757709768899297,2.2029687581434234,6.468524354532933,9.96964065092853,2.332354370441523,2.1661667410675993
180,2.5099648659968388,2.624491282362828,32.492441459968745,54.65955915995873,3.0996986141923917,2.715358459020316
time,30945.929557323456,328.97756004333496,151.82401943206787,72.24468040466309,71.80822706222534,16781.705738782883
gap_count,169200,169200,169200,169200,169200,169200
count,582439,582439,582439,582439,582439,582439
