,MissForest,KNN,IterativeImputer,Spline,Poly,Pchip,RegEM
2,2.4918504316695853,2.8675050101102677,2.4108659105436967,3.643551013183567,3.7783709643246306,3.1236383196832103,2.4121037818340554
7,2.5423622771209144,2.810695486829238,2.4473174992901945,6.096763093417858,6.403072796292656,3.746420822536611,2.443591631689004
30,2.3062806899783665,2.638004559245583,2.20075126226344,15.893843290582792,18.00468087285236,4.532441998104908,2.2019764171173057
180,2.7073174069431545,2.996933600239171,2.6786995666459057,67.40225613417938,56.169072267579885,4.683749262789263,2.6728290377730626
time,129.75959086418152,7.147814035415649,2.0531866550445557,0.9255998134613037,0.6106576919555664,0.604313850402832,1.694915533065796
gap_count,360,360,360,360,360,360,360
count,866,866,866,866,866,866,866
